Time,True time, Gyro X, Gyro Y, Gyro Z, Accel X, Accel Y, Accel Z, Pressure,delta t
seconds,seconds, deg/s, deg/s, deg/s, m/s^2, m/s^2, m/s^2, PSI,seconds
59.959,59.959,-5.3,0.9,-0.5,-0.34,9.8,0.07,99216,0.054
60.013,60.013,-4.8,0.9,-0.4,-0.41,9.83,-0.12,99210,0.054
60.067,60.067,-5.2,0.9,-0.4,-0.51,9.82,-0.05,99214,0.054
60.122,60.122,-5,1.6,-0.3,-0.28,9.81,-0.11,99213,0.055
60.176,60.176,-4.9,0.8,-0.7,-0.51,9.82,-0.08,99212,0.054
60.23,60.23,-5.1,1,-0.5,-0.45,9.84,-0.11,99213,0.054
60.285,60.285,-4.9,0.8,-0.6,-0.44,9.81,0.08,99214,0.055
60.388,60.388,-5.3,1.2,-0.5,-0.5,9.83,0.03,99212,0.103
60.442,60.442,-5,1.2,-0.6,-0.39,9.84,-0.05,99213,0.054
60.496,60.496,-4.9,0.9,-0.5,-0.51,9.81,0.01,99214,0.054
60.55,60.55,-5.1,1,-0.4,-0.36,9.8,-0.12,99216,0.054
60.605,60.605,-5.1,1,-0.8,-0.38,9.84,-0.01,99215,0.055
60.659,60.659,-5,0.8,-0.5,-0.36,9.8,-0.12,99213,0.054
60.713,60.713,-4.9,0.8,-0.8,-0.5,9.86,-0.04,99214,0.054
60.768,60.768,-5,0.8,-0.5,-0.37,9.82,-0.13,99215,0.055
60.822,60.822,-4.8,0.7,-0.4,-0.54,9.84,-0.05,99212,0.054
60.876,60.876,-5,0.9,-0.4,-0.43,9.83,-0.12,99214,0.054
60.931,60.931,-5,1,-0.6,-0.42,9.82,0.06,99209,0.055
60.985,60.985,-5.1,0.8,-0.5,-0.5,9.84,-0.12,99212,0.054
61.042,61.042,-4.9,0.8,-0.3,-0.32,9.83,-0.03,99211,0.057
61.097,61.097,-4.9,0.6,-0.5,-0.37,9.81,0,99212,0.055
61.151,61.151,-4.9,1,-0.6,-0.48,9.84,-0.14,99213,0.054
61.205,61.205,-5.3,0.6,-0.7,-0.33,9.85,-0.05,99215,0.054
61.259,61.259,-4.9,1.2,-0.8,-0.52,9.85,-0.1,99213,0.054
61.313,61.313,-5.3,0.9,-0.4,-0.49,9.83,-0.09,99214,0.054
61.367,61.367,-5.1,0.9,-0.4,-0.4,9.81,0.02,99214,0.054
61.421,61.421,-4.9,0.7,-0.6,-0.49,9.83,-0.14,99216,0.054
61.475,61.475,-5.2,0.8,-0.4,-0.44,9.8,-0.05,99215,0.054
61.529,61.529,-4.9,0.9,-0.8,-0.38,9.82,-0.05,99213,0.054
61.583,61.583,-5.2,0.9,-0.6,-0.48,9.8,-0.15,99216,0.054
61.637,61.637,-5.4,0.7,-0.7,-0.31,9.84,0.03,99216,0.054
61.691,61.691,-5,1.1,-0.7,-0.41,9.87,-0.11,99216,0.054
61.745,61.745,-5.2,1.1,-0.2,-0.47,9.8,-0.02,99214,0.054
61.8,61.8,-5,1.1,-0.5,-0.44,9.84,0.04,99216,0.055
61.854,61.854,-4.8,1,-0.8,-0.52,9.79,-0.12,99214,0.054
61.908,61.908,-4.9,0.7,-0.6,-0.41,9.84,-0.01,99214,0.054
61.962,61.962,-4.9,1.1,-0.6,-0.42,9.78,-0.06,99215,0.054
62.016,62.016,-5,0.8,-0.5,-0.49,9.83,-0.11,99214,0.054
62.07,62.07,-5.2,0.9,-0.3,-0.36,9.84,-0.06,99212,0.054
62.124,62.124,-5.1,0.8,-0.5,-0.38,9.84,-0.1,99210,0.054
62.178,62.178,-5.1,0.9,-0.5,-0.36,9.8,-0.04,99213,0.054
62.285,62.285,-5,1,-0.3,-0.46,9.83,-0.09,99213,0.107
62.339,62.339,-4.9,0.9,-0.3,-0.42,9.8,0.01,99213,0.054
62.393,62.393,-5.2,1,-0.4,-0.48,9.83,-0.06,99215,0.054
62.447,62.447,-5.1,0.6,-0.5,-0.44,9.82,-0.08,99212,0.054
62.502,62.502,-5.2,1,-0.8,-0.42,9.83,-0.05,99211,0.055
62.556,62.556,-5.1,0.8,-0.4,-0.44,9.8,-0.14,99211,0.054
62.61,62.61,-5.2,0.9,-0.5,-0.39,9.87,-0.06,99212,0.054
62.665,62.665,-4.9,0.8,-0.7,-0.46,9.82,-0.08,99212,0.055
62.719,62.719,-5.3,0.8,-0.6,-0.48,9.84,-0.1,99212,0.054
62.773,62.773,-5.2,0.6,-0.3,-0.37,9.82,0.02,99212,0.054
62.827,62.827,-4.9,1.2,-0.5,-0.52,9.81,-0.08,99213,0.054
62.882,62.882,-5.2,0.8,-0.4,-0.42,9.83,0.01,99212,0.055
62.936,62.936,-5.1,0.9,-0.6,-0.38,9.82,-0.02,99207,0.054
62.99,62.99,-5,0.7,-0.3,-0.46,9.86,-0.11,99212,0.054
63.044,63.044,-5.3,0.8,-0.6,-0.35,9.84,-0.05,99212,0.054
63.099,63.099,-4.6,1.1,-0.6,-0.44,9.8,-0.06,99212,0.055
63.153,63.153,-5,0.7,0,-0.42,9.84,-0.14,99208,0.054
63.207,63.207,-4.9,0.8,-0.6,-0.42,9.8,-0.01,99211,0.054
63.262,63.262,-5,0.8,-0.5,-0.51,9.81,-0.1,99212,0.055
63.316,63.316,-5.3,0.9,-0.2,-0.43,9.8,0,99212,0.054
63.37,63.37,-5,0.9,-0.6,-0.41,9.8,-0.03,99212,0.054
63.424,63.424,-4.9,0.7,-0.6,-0.45,9.82,-0.1,99211,0.054
63.482,63.482,-5.1,1,-0.5,-0.37,9.79,-0.03,99211,0.058
63.536,63.536,-5.2,0.8,-0.2,-0.45,9.82,-0.15,99211,0.054
63.591,63.591,-5,1,-0.5,-0.37,9.84,-0.03,99210,0.055
63.645,63.645,-5,1,-0.7,-0.39,9.8,-0.07,99212,0.054
63.699,63.699,-5.1,0.7,-0.6,-0.47,9.84,-0.09,99214,0.054
63.754,63.754,-5.1,1.1,-0.5,-0.41,9.83,-0.04,99216,0.055
63.808,63.808,-4.8,0.7,-0.4,-0.49,9.79,-0.12,99214,0.054
63.911,63.911,-5.2,0.9,-0.7,-0.46,9.82,-0.06,99214,0.103
63.965,63.965,-5,0.9,-0.5,-0.46,9.84,-0.11,99212,0.054
64.02,64.02,-5.1,1,-0.4,-0.39,9.83,0.02,99213,0.055
64.074,64.074,-4.9,0.9,-0.5,-0.42,9.85,-0.16,99213,0.054
64.128,64.128,-5.1,0.9,-0.1,-0.46,9.84,0.01,99213,0.054
64.182,64.182,-5,0.9,-0.4,-0.41,9.82,-0.02,99211,0.054
64.237,64.237,-5.2,1,-0.3,-0.45,9.84,-0.07,99215,0.055
64.291,64.291,-5.3,0.7,-0.3,-0.36,9.84,-0.02,99212,0.054
64.345,64.345,-5,0.9,-0.4,-0.49,9.83,-0.09,99216,0.054
64.4,64.4,-5.2,0.9,-0.5,-0.42,9.81,-0.01,99213,0.055
64.454,64.454,-4.9,0.8,-0.6,-0.46,9.84,-0.04,99214,0.054
64.508,64.508,-4.9,1,-0.5,-0.45,9.79,-0.15,99215,0.054
64.563,64.563,-5.2,0.8,-0.5,-0.39,9.81,-0.06,99213,0.055
64.617,64.617,-4.9,0.8,-0.5,-0.47,9.81,-0.13,99213,0.054
64.671,64.671,-5.2,1.1,-0.6,-0.46,9.84,-0.1,99212,0.054
64.729,64.729,-4.9,1.1,-0.3,-0.41,9.8,-0.02,99212,0.058
64.783,64.783,-5.2,0.7,-0.5,-0.49,9.82,-0.07,99212,0.054
64.838,64.838,-5.2,0.8,-0.3,-0.33,9.82,-0.03,99215,0.055
64.892,64.892,-5.1,0.8,-0.6,-0.45,9.82,-0.08,99214,0.054
64.946,64.946,-5,0.9,-0.5,-0.44,9.83,-0.08,99213,0.054
65.001,65.001,-5.2,0.8,-0.6,-0.38,9.81,-0.04,99212,0.055
65.055,65.055,-5.1,1.1,-0.4,-0.47,9.82,-0.16,99210,0.054
65.109,65.109,-5.1,0.9,-0.4,-0.4,9.85,0.02,99212,0.054
65.164,65.164,-5.2,1,-0.7,-0.38,9.82,-0.01,99211,0.055
65.218,65.218,-5,0.9,-0.5,-0.5,9.8,-0.13,99211,0.054
65.272,65.272,-5.1,0.9,-0.6,-0.41,9.82,-0.09,99211,0.054
65.326,65.326,-5,0.7,-0.9,-0.46,9.82,-0.11,99215,0.054
65.381,65.381,-5.2,0.9,-0.7,-0.44,9.8,-0.09,99215,0.055
65.435,65.435,-5,0.8,-0.5,-0.4,9.86,-0.07,99211,0.054
65.489,65.489,-5.1,1,-0.6,-0.46,9.81,-0.1,99216,0.054
65.544,65.544,-5.2,0.9,-0.5,-0.39,9.82,-0.08,99211,0.055
65.648,65.648,-5,0.9,-0.6,-0.41,9.81,-0.1,99212,0.104
65.702,65.702,-4.9,1,-0.6,-0.4,9.83,0.03,99213,0.054
65.756,65.756,-5.1,1.1,-0.7,-0.49,9.83,-0.13,99210,0.054
65.811,65.811,-5.1,0.8,-0.4,-0.41,9.8,-0.04,99208,0.055
65.865,65.865,-4.8,0.8,-0.5,-0.4,9.82,-0.04,99211,0.054
65.919,65.919,-5.2,0.9,-0.7,-0.46,9.83,-0.05,99210,0.054
65.977,65.977,-5,0.9,-0.3,-0.38,9.82,-0.05,99214,0.058
66.031,66.031,-4.8,0.9,-0.4,-0.48,9.86,-0.1,99215,0.054
66.085,66.085,-5.1,1.1,-0.3,-0.4,9.84,-0.08,99215,0.054
66.139,66.139,-5.1,0.9,-0.5,-0.44,9.84,-0.03,99211,0.054
66.193,66.193,-5.3,0.9,-0.5,-0.46,9.8,-0.09,99213,0.054
66.247,66.247,-5.1,1,-0.2,-0.38,9.81,-0.04,99213,0.054
66.301,66.301,-5,0.9,-0.4,-0.49,9.84,-0.05,99210,0.054
66.355,66.355,-5.2,0.8,-0.4,-0.45,9.8,-0.04,99215,0.054
66.409,66.409,-5.2,1,-0.5,-0.42,9.82,0.04,99212,0.054
66.464,66.464,-4.9,1,-0.5,-0.49,9.87,-0.09,99213,0.055
66.518,66.518,-5.2,0.9,-0.2,-0.35,9.84,0,99215,0.054
66.572,66.572,-5.1,0.9,-0.6,-0.43,9.85,-0.06,99217,0.054
66.626,66.626,-5.2,0.7,-0.4,-0.47,9.83,-0.07,99213,0.054
66.68,66.68,-5.1,1.1,-0.7,-0.38,9.82,-0.01,99212,0.054
66.734,66.734,-5,0.6,-0.4,-0.45,9.83,-0.08,99212,0.054
66.788,66.788,-5.2,0.7,-0.2,-0.41,9.84,0,99213,0.054
66.842,66.842,-4.9,1,-0.6,-0.42,9.84,-0.05,99211,0.054
66.896,66.896,-5.1,0.8,-0.4,-0.48,9.83,-0.15,99213,0.054
66.95,66.95,-5.2,1.1,-0.6,-0.4,9.8,0.01,99215,0.054
67.004,67.004,-4.9,0.7,-0.7,-0.48,9.85,-0.07,99212,0.054
67.058,67.058,-5.3,0.8,-0.3,-0.42,9.82,-0.02,99214,0.054
67.112,67.112,-4.9,0.9,-0.8,-0.38,9.83,-0.07,99213,0.054
67.17,67.17,-5.4,1,-0.7,-0.45,9.81,-0.07,99213,0.058
67.224,67.224,-5.1,0.8,-0.2,-0.39,9.84,-0.04,99215,0.054
67.279,67.279,-5,1.1,-0.3,-0.44,9.85,-0.07,99216,0.055
67.333,67.333,-5.1,0.9,-0.3,-0.41,9.81,-0.1,99213,0.054
67.436,67.436,-5.1,0.8,-0.5,-0.44,9.82,-0.09,99215,0.103
67.49,67.49,-5.2,0.9,-0.2,-0.38,9.81,-0.06,99216,0.054
67.544,67.544,-5.2,0.8,-0.6,-0.45,9.8,-0.04,99215,0.054
67.599,67.599,-5.2,1.1,-0.3,-0.43,9.85,-0.1,99211,0.055
67.653,67.653,-5.2,0.9,-0.6,-0.41,9.82,-0.05,99212,0.054
67.707,67.707,-4.9,0.9,-0.3,-0.44,9.85,0,99212,0.054
67.761,67.761,-5.1,0.9,-0.5,-0.47,9.81,0,99214,0.054
67.816,67.816,-5,0.7,-0.4,-0.39,9.84,-0.04,99213,0.055
67.87,67.87,-5.1,0.8,-0.6,-0.42,9.85,-0.06,99215,0.054
67.924,67.924,-4.9,0.5,-0.5,-0.4,9.84,-0.02,99216,0.054
67.978,67.978,-5.1,1.2,-0.7,-0.48,9.81,-0.11,99216,0.054
68.033,68.033,-5.1,1,-0.6,-0.41,9.83,-0.03,99215,0.055
68.087,68.087,-5.1,1.1,-0.5,-0.49,9.85,-0.07,99215,0.054
68.141,68.141,-5.4,0.9,-0.2,-0.44,9.84,-0.1,99213,0.054
68.196,68.196,-5.2,0.8,-0.6,-0.45,9.82,-0.05,99213,0.055
68.25,68.25,-5.2,0.9,-0.5,-0.43,9.82,-0.05,99215,0.054
68.304,68.304,-5,0.8,-0.6,-0.41,9.85,-0.01,99216,0.054
68.358,68.358,-5,0.9,-0.6,-0.38,9.83,-0.06,99212,0.054
68.416,68.416,-5,1,-0.6,-0.46,9.8,0.01,99213,0.058
68.471,68.471,-5.2,0.8,-0.3,-0.43,9.81,-0.03,99210,0.055
68.525,68.525,-5,0.7,-0.5,-0.45,9.86,-0.1,99209,0.054
68.579,68.579,-5,0.5,-0.2,-0.43,9.81,-0.03,99214,0.054
68.633,68.633,-4.9,0.9,-0.4,-0.43,9.82,-0.06,99212,0.054
68.688,68.688,-5.2,0.8,-0.6,-0.47,9.83,-0.06,99213,0.055
68.742,68.742,-5.1,0.9,-0.1,-0.43,9.82,-0.04,99209,0.054
68.796,68.796,-5,0.7,-0.7,-0.42,9.82,-0.08,99211,0.054
68.851,68.851,-5.1,0.7,-0.3,-0.43,9.83,-0.06,99213,0.055
68.905,68.905,-5.2,0.8,-0.4,-0.43,9.82,-0.01,99210,0.054
69.009,69.009,-4.9,0.9,-0.4,-0.43,9.85,0.03,99212,0.104
69.063,69.063,-5.2,1.1,-0.4,-0.42,9.81,-0.04,99210,0.054
69.118,69.118,-5.2,0.8,-0.7,-0.45,9.83,0.02,99211,0.055
69.172,69.172,-4.9,0.8,-0.5,-0.39,9.83,-0.07,99210,0.054
69.226,69.226,-4.9,1.1,-0.8,-0.47,9.8,-0.08,99211,0.054
69.281,69.281,-4.9,0.7,-0.6,-0.47,9.82,-0.05,99215,0.055
69.335,69.335,-5.1,0.7,-0.6,-0.39,9.82,-0.04,99209,0.054
69.389,69.389,-5.1,0.8,-0.3,-0.44,9.8,-0.07,99215,0.054
69.443,69.443,-5.1,0.9,-0.5,-0.44,9.82,-0.05,99209,0.054
69.498,69.498,-5,0.8,-0.4,-0.44,9.82,-0.09,99218,0.055
69.552,69.552,-5.2,1,0,-0.43,9.79,-0.03,99214,0.054
69.606,69.606,-5.2,0.8,-0.3,-0.42,9.84,-0.02,99212,0.054
69.661,69.661,-5.1,0.8,-0.3,-0.44,9.84,-0.11,99212,0.055
69.718,69.718,-5.2,1,-0.4,-0.41,9.83,-0.06,99214,0.057
69.773,69.773,-5,0.7,-0.5,-0.44,9.84,-0.05,99211,0.055
69.827,69.827,-5,0.7,-0.6,-0.4,9.79,-0.1,99211,0.054
69.881,69.881,-4.8,0.8,-1,-0.42,9.8,-0.07,99213,0.054
69.936,69.936,-4.9,0.7,-0.7,-0.42,9.84,-0.04,99213,0.055
69.99,69.99,-5.3,0.8,-0.5,-0.43,9.78,0,99215,0.054
70.044,70.044,-4.8,0.7,-0.6,-0.46,9.84,-0.07,99211,0.054
70.099,70.099,-5,0.8,-0.6,-0.45,9.81,-0.04,99213,0.055
70.153,70.153,-5.3,1,-0.4,-0.4,9.82,-0.05,99215,0.054
70.207,70.207,-5.1,1,-0.6,-0.5,9.81,-0.08,99214,0.054
70.261,70.261,-5.3,0.9,-0.5,-0.41,9.84,-0.11,99218,0.054
70.316,70.316,-5.1,1,-0.8,-0.42,9.84,-0.1,99215,0.055
70.37,70.37,-5.2,0.9,-0.4,-0.44,9.83,-0.06,99212,0.054
70.424,70.424,-5,0.9,-0.5,-0.41,9.82,-0.04,99213,0.054
70.479,70.479,-5,0.8,-0.4,-0.45,9.83,-0.04,99213,0.055
70.533,70.533,-4.9,0.5,-0.2,-0.44,9.82,-0.1,99213,0.054
70.587,70.587,-5.3,0.8,-0.6,-0.44,9.86,-0.08,99214,0.054
70.642,70.642,-5.2,1,-0.4,-0.42,9.84,-0.06,99211,0.055
70.696,70.696,-5.2,0.8,-0.6,-0.39,9.8,-0.06,99212,0.054
70.75,70.75,-5,0.9,-0.4,-0.45,9.84,-0.08,99213,0.054
70.804,70.804,-5.2,1,-0.5,-0.46,9.82,-0.09,99217,0.054
70.859,70.859,-5.1,1,-0.3,-0.48,9.83,-0.01,99213,0.055
70.966,70.966,-5.2,0.6,-0.4,-0.46,9.81,0,99212,0.107
71.02,71.02,-5.1,1,-0.3,-0.45,9.84,-0.05,99213,0.054
71.074,71.074,-5,0.7,-0.4,-0.46,9.83,-0.06,99209,0.054
71.128,71.128,-5.1,1.1,-0.5,-0.45,9.84,-0.1,99213,0.054
71.182,71.182,-4.9,1,-0.4,-0.42,9.82,-0.06,99214,0.054
71.237,71.237,-5.3,0.7,-0.7,-0.41,9.78,-0.07,99215,0.055
71.291,71.291,-5.1,0.8,-0.6,-0.43,9.84,-0.04,99214,0.054
71.345,71.345,-5.1,1.2,-0.6,-0.42,9.81,-0.1,99211,0.054
71.399,71.399,-5.2,1,-0.5,-0.42,9.82,-0.01,99212,0.054
71.453,71.453,-5.1,0.9,-0.5,-0.45,9.85,-0.07,99212,0.054
71.507,71.507,-4.9,0.8,-0.5,-0.42,9.82,-0.08,99212,0.054
71.561,71.561,-5.2,0.8,-0.7,-0.41,9.86,-0.06,99212,0.054
71.615,71.615,-5.1,0.7,-0.6,-0.46,9.82,-0.09,99209,0.054
71.669,71.669,-4.9,0.8,-0.2,-0.43,9.86,-0.04,99212,0.054
71.723,71.723,-4.9,0.8,-0.6,-0.44,9.83,-0.06,99212,0.054
71.777,71.777,-5.2,0.8,-0.5,-0.45,9.84,0.01,99211,0.054
71.831,71.831,-5.5,0.9,-0.4,-0.43,9.8,-0.05,99213,0.054
71.885,71.885,-4.8,1,-0.5,-0.47,9.83,-0.06,99210,0.054
71.939,71.939,-5.1,0.9,-0.5,-0.42,9.84,-0.05,99213,0.054
71.994,71.994,-5,0.7,-0.7,-0.41,9.83,-0.07,99208,0.055
72.048,72.048,-5.4,0.9,-0.6,-0.45,9.83,-0.06,99210,0.054
72.102,72.102,-5.2,0.7,-0.3,-0.4,9.79,0.01,99214,0.054
72.159,72.159,-4.9,0.6,-0.6,-0.44,9.83,-0.09,99211,0.057
72.214,72.214,-5.1,1.2,-0.5,-0.43,9.82,-0.09,99209,0.055
72.268,72.268,-5.2,0.9,-0.5,-0.41,9.83,-0.03,99212,0.054
72.372,72.372,-5.1,0.9,-0.5,-0.42,9.81,-0.1,99213,0.104
72.426,72.426,-5.1,0.8,-0.3,-0.45,9.84,-0.02,99212,0.054
72.481,72.481,-5,0.7,-0.5,-0.48,9.84,-0.06,99212,0.055
72.535,72.535,-5.1,1,-0.4,-0.4,9.83,-0.02,99212,0.054
72.589,72.589,-5.2,1,-0.8,-0.45,9.81,-0.08,99212,0.054
72.643,72.643,-5.2,0.9,-0.7,-0.42,9.83,-0.05,99213,0.054
72.698,72.698,-4.9,1.1,-0.6,-0.43,9.84,0.04,99211,0.055
72.752,72.752,-5,0.9,-0.6,-0.42,9.84,-0.12,99208,0.054
72.806,72.806,-5,0.9,-0.6,-0.45,9.82,-0.06,99212,0.054
72.861,72.861,-4.9,0.7,-0.5,-0.43,9.83,-0.1,99213,0.055
72.915,72.915,-5.3,1,-0.7,-0.46,9.83,0.06,99208,0.054
72.969,72.969,-5,0.6,-0.6,-0.44,9.83,-0.07,99207,0.054
73.023,73.023,-5,1,-0.7,-0.41,9.8,-0.03,99209,0.054
73.078,73.078,-5.1,0.9,-0.6,-0.43,9.81,-0.04,99214,0.055
73.132,73.132,-5.2,0.8,-0.3,-0.45,9.82,-0.11,99211,0.054
73.186,73.186,-5.1,0.6,-0.7,-0.44,9.85,-0.1,99213,0.054
73.24,73.24,-5.1,0.8,-0.7,-0.46,9.82,-0.01,99211,0.054
73.295,73.295,-5,0.9,-0.5,-0.45,9.83,-0.1,99210,0.055
73.349,73.349,-5.1,0.8,-0.4,-0.39,9.79,-0.06,99214,0.054
73.407,73.407,-5.1,0.9,-0.4,-0.47,9.82,-0.08,99210,0.058
73.461,73.461,-4.8,0.8,-0.3,-0.47,9.86,-0.1,99215,0.054
73.515,73.515,-5,1,-0.5,-0.44,9.83,-0.08,99213,0.054
73.57,73.57,-5.1,0.8,-0.8,-0.48,9.81,-0.06,99213,0.055
73.624,73.624,-4.9,0.8,-0.4,-0.41,9.81,-0.06,99215,0.054
73.678,73.678,-4.8,1.1,-0.5,-0.4,9.82,-0.04,99213,0.054
73.733,73.733,-5.1,0.7,-0.7,-0.44,9.84,-0.11,99215,0.055
73.787,73.787,-5.2,0.8,-0.7,-0.46,9.84,-0.04,99213,0.054
73.841,73.841,-4.9,0.8,-0.6,-0.46,9.83,-0.02,99214,0.054
73.896,73.896,-5,0.8,-0.5,-0.46,9.83,-0.04,99215,0.055
73.95,73.95,-5.1,0.9,-0.2,-0.43,9.8,-0.01,99213,0.054
74.004,74.004,-4.9,1,-0.2,-0.45,9.83,-0.1,99214,0.054
74.058,74.058,-5.1,0.9,-0.1,-0.42,9.82,-0.08,99217,0.054
74.113,74.113,-5.3,1.2,-0.5,-0.43,9.83,-0.04,99216,0.055
74.167,74.167,-5.3,0.9,-0.7,-0.43,9.83,-0.07,99214,0.054
74.221,74.221,-4.9,1,-0.4,-0.4,9.83,-0.06,99215,0.054
74.276,74.276,-5.1,0.9,-0.5,-0.48,9.84,-0.05,99213,0.055
74.33,74.33,-5.2,0.8,-0.7,-0.44,9.83,-0.02,99211,0.054
74.384,74.384,-5.1,1,-0.4,-0.43,9.82,-0.08,99214,0.054
74.486,74.486,-5,0.7,-0.6,-0.41,9.81,-0.05,99214,0.102
74.541,74.541,-5.1,1,-0.6,-0.5,9.84,-0.07,99212,0.055
74.595,74.595,-5,0.8,-0.6,-0.43,9.84,-0.07,99215,0.054
74.653,74.653,-5.1,0.8,-0.3,-0.44,9.79,-0.07,99215,0.058
74.707,74.707,-5.3,0.9,-0.6,-0.44,9.81,-0.06,99212,0.054
74.761,74.761,-5.1,0.6,-0.6,-0.38,9.83,-0.06,99209,0.054
74.816,74.816,-4.9,0.8,-0.4,-0.43,9.84,-0.04,99213,0.055
74.87,74.87,-5,0.9,-0.6,-0.44,9.84,-0.07,99214,0.054
74.924,74.924,-5.1,0.9,-0.7,-0.41,9.82,0.02,99212,0.054
74.978,74.978,-5.2,0.8,-0.5,-0.47,9.82,-0.07,99215,0.054
75.033,75.033,-5.4,1,-0.4,-0.41,9.83,-0.11,99214,0.055
75.087,75.087,-5.3,0.9,-0.6,-0.42,9.8,0,99213,0.054
75.141,75.141,-5,0.7,-0.4,-0.48,9.81,-0.08,99215,0.054
75.196,75.196,-5.1,0.9,-0.5,-0.44,9.8,0.02,99213,0.055
75.25,75.25,-5.1,0.9,-0.5,-0.42,9.84,-0.06,99214,0.054
75.304,75.304,-5.1,1,-0.4,-0.45,9.8,-0.09,99217,0.054
75.359,75.359,-5,1,-0.5,-0.43,9.87,-0.07,99219,0.055
75.413,75.413,-5.4,0.9,-0.5,-0.46,9.84,-0.08,99213,0.054
75.467,75.467,-5.2,1.1,-0.4,-0.48,9.82,-0.11,99217,0.054
75.521,75.521,-5.1,0.7,-0.6,-0.42,9.87,-0.03,99212,0.054
75.576,75.576,-5,0.9,-0.5,-0.48,9.82,-0.16,99215,0.055
75.63,75.63,-5.1,0.9,-0.5,-0.47,9.83,-0.06,99213,0.054
75.684,75.684,-4.9,1,-0.3,-0.45,9.87,-0.03,99217,0.054
75.788,75.788,-5.2,0.7,-0.3,-0.46,9.84,-0.05,99215,0.104
75.842,75.842,-5.2,0.7,-0.6,-0.43,9.83,-0.13,99217,0.054
75.896,75.896,-4.9,1,-0.6,-0.45,9.84,-0.07,99216,0.054
75.954,75.954,-5,1.1,-0.3,-0.43,9.81,-0.11,99214,0.058
76.008,76.008,-5.1,0.8,-0.5,-0.43,9.83,-0.08,99216,0.054
76.062,76.062,-5.1,0.8,-0.5,-0.46,9.84,-0.09,99216,0.054
76.116,76.116,-5.2,0.8,-0.4,-0.41,9.83,-0.09,99216,0.054
76.17,76.17,-5.3,0.6,-0.5,-0.41,9.85,-0.03,99215,0.054
76.224,76.224,-5.1,0.9,-0.4,-0.44,9.82,-0.06,99217,0.054
76.278,76.278,-5.4,0.9,-0.5,-0.45,9.83,-0.05,99215,0.054
76.332,76.332,-5.1,0.8,-0.5,-0.45,9.83,-0.1,99216,0.054
76.386,76.386,-5,1,-0.8,-0.43,9.79,-0.07,99213,0.054
76.441,76.441,-5,0.6,-0.4,-0.4,9.81,-0.04,99215,0.055
76.495,76.495,-4.9,1,-0.5,-0.43,9.83,0,99209,0.054
76.549,76.549,-5.1,0.8,-0.5,-0.48,9.85,-0.11,99213,0.054
76.603,76.603,-5.4,0.9,-0.5,-0.45,9.83,-0.02,99209,0.054
76.657,76.657,-5,1,-0.7,-0.45,9.86,-0.11,99214,0.054
76.711,76.711,-5,0.9,-0.5,-0.45,9.85,-0.06,99218,0.054
76.765,76.765,-5.3,0.8,-0.4,-0.46,9.81,-0.04,99216,0.054
76.819,76.819,-5.1,0.8,-0.2,-0.44,9.81,-0.02,99214,0.054
76.873,76.873,-4.9,0.7,-0.4,-0.41,9.79,-0.03,99218,0.054
76.927,76.927,-5.2,1,-0.6,-0.43,9.79,-0.1,99219,0.054
76.981,76.981,-5,0.9,-0.5,-0.4,9.86,-0.03,99214,0.054
77.035,77.035,-4.9,1.1,-0.5,-0.41,9.84,0,99218,0.054
77.089,77.089,-5.3,0.8,-0.4,-0.47,9.83,-0.08,99214,0.054
77.147,77.147,-4.9,0.7,-0.2,-0.41,9.87,-0.01,99216,0.058
77.201,77.201,-5.3,0.8,-0.9,-0.47,9.85,-0.09,99219,0.054
77.256,77.256,-5.2,0.8,-0.4,-0.45,9.86,-0.06,99216,0.055
77.31,77.31,-5.1,0.8,-0.7,-0.45,9.81,-0.11,99214,0.054
77.364,77.364,-4.9,0.9,-0.4,-0.48,9.81,-0.13,99217,0.054
77.418,77.418,-5.1,1.1,-0.2,-0.41,9.83,-0.04,99217,0.054
77.473,77.473,-5.1,0.7,-0.4,-0.45,9.8,-0.07,99216,0.055
77.527,77.527,-5.2,0.7,-0.4,-0.41,9.78,-0.01,99216,0.054
77.581,77.581,-5.2,1,-0.4,-0.43,9.84,-0.06,99215,0.054
77.635,77.635,-5.1,0.9,-0.6,-0.45,9.83,-0.06,99214,0.054
77.69,77.69,-4.9,0.8,-0.5,-0.42,9.84,-0.09,99216,0.055
77.744,77.744,-5,0.8,-0.6,-0.44,9.84,-0.07,99217,0.054
77.798,77.798,-5,0.9,-0.8,-0.46,9.89,-0.04,99215,0.054
77.852,77.852,-4.9,0.8,-0.7,-0.46,9.8,-0.03,99215,0.054
77.907,77.907,-5,0.9,-0.4,-0.47,9.81,-0.1,99219,0.055
78.01,78.01,-5.1,1,-0.4,-0.44,9.83,-0.01,99214,0.103
78.064,78.064,-4.9,1,-0.1,-0.44,9.85,-0.06,99216,0.054
78.118,78.118,-5.2,0.9,-0.3,-0.42,9.85,-0.04,99215,0.054
78.173,78.173,-5,1,-0.4,-0.41,9.82,-0.02,99216,0.055
78.227,78.227,-5.3,1,-0.6,-0.44,9.83,-0.1,99211,0.054
78.281,78.281,-4.7,0.8,-0.3,-0.43,9.81,-0.05,99215,0.054
78.335,78.335,-5.2,1,-0.5,-0.46,9.83,-0.12,99215,0.054
78.393,78.393,-5.1,0.9,-0.7,-0.45,9.82,-0.04,99216,0.058
